World Development Indicators
Number of countries,264
Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029310471,0,0,2.138784453,3.605985937,3.98141538,6.16435217,13.48254011,16.50927821,57.05427692,65.05605558,72.10431377,99.64250268,103.3849507,108.1325002,112.2180618,119.2038996,126.2103374,129.72824,0,131.8565401,134.873823,135.0658893
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027108122,0.19063123,0.560966912,1.081736077,1.682627998,2.835372025,3.892879466,6.807810813,12.37017796,21.7568676,24.66137476,26.16715738,33.18891382,44.45626668,57.12450962,64.2670099,71.9035383,81.50958522,89.76286231,94.70140374,100.0646043,102.1940537,100.7390114,100.4263074,104.610551,105.585695,106.8434974,131.2305468
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128856131,0.25189156,0.345358749,0.48515954,0.664667026,0.96086037,1.493599184,2.211730703,2.805498884,3.504549191,4.80296973,7.475118128,14.47070198,28.62886002,53.07787628,76.26932886,81.26031128,83.24472516,89.33569564,97.54481697,105.1755856,112.124675,119.2569828,129.6551516,136.57901,145.6928199,154.426039,160.5397387,156.2304116,151.9112515
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006514549,0.077212068,0.216497822,0.504939253,0.814081353,4.597452067,5.178780011,8.907406533,9.592056203,12.62937463,17.20615651,26.18119583,38.35542641,51.52721935,73.75810024,86.32194952,100.0593201,109.9720704,108.7683381,107.6134072,110.9053634
"Bahamas, The",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.749791291,0.773644017,0.977087303,0.885634717,0,1.464024281,1.744231135,2.161446077,2.784158716,5.422195868,10.58708553,19.98481873,39.3992344,38.72582567,57.69447891,69.21279415,75.37855087,109.340767,102.7875065,101.2186453,118.8292307,81.5628489,80.65383375,76.05187427,82.29635806
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142563513,0.381286664,0.620306327,0.883522952,1.037818786,1.442965201,1.852315921,2.120546339,3.207749877,4.895960832,6.913956774,9.799631738,14.90809458,20.82466731,30.78644018,42.87476619,53.10146463,57.39322693,79.19074229,87.21698081,95.42373897,108.1005238,129.0979339,117.6607732,125.2084477,131.009991,161.1670576,165.9088811,173.2739335
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000222359,0.00043517,0.000940619,0.0020856,0.00326795,0.020809104,0.058833439,0.114644643,0.210751714,0.385958523,0.784635571,0.980702181,1.969454675,6.28776238,13.20573922,23.46762823,30.16828408,34.35334451,44.94535882,55.19256723,62.82023906,74.42964608,80.03535051
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186797348,0.305024084,0.59607052,1.130539817,1.753272662,2.380970426,3.028276003,4.521988167,7.628652994,10.6542161,19.79567344,36.06098158,51.69027189,73.5247332,75.37065739,86.2492407,93.23830793,103.972136,120.8077962,124.8452189,123.4606322,123.3298378,108.1027529,128.7304328
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003162103,0.016869419,0.057875715,0.064472565,0.080697147,0.120576083,0.23375711,0.494446704,1.394421246,4.695385079,11.42668966,23.03795343,42.41718896,61.95195003,72.61067076,85.05828031,101.6840082,108.8697059,113.1688625,113.5179254,118.786176,122.5011386
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038348549,0.072839954,0.192853855,0.309387231,0.429735061,0.513631256,0.611545879,0.671587939,1.264320986,2.315095365,4.694050625,9.548274196,17.1799361,31.11171947,54.81877375,74.72253301,78.36155617,82.86829993,87.46025396,91.40294897,93.00741585,100.5624899,105.283158,108.4032585,111.0841886,113.5309512,111.3315482,110.9031799,114.2699575
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201592581,0.411172831,0.747480214,1.028369629,1.164387324,1.570531759,2.842663676,7.046515722,15.96872731,20.54645981,23.38066005,28.29761545,35.30450132,42.2961808,41.34020042,54.51721037,53.74564807,62.93070205,70.31965347,53.20712214,52.61072612,50.712566
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017541931,0.043828702,0.067517635,0.096020877,0.107840809,0.79828865,1.742181889,2.950472734,3.08093958,5.797473518,7.28722342,12.50317546,23.56334604,40.40173435,54.46885832,74.39604921,79.40049868,83.65431589,93.25782193,99.65221977
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.253828806,1.859593966,2.393935364,3.200793585,5.592013289,8.390338101,10.29850017,12.9329206,16.57633243,20.18755219,20.46133926,20.68844789,21.12459598,47.32383702,62.83281758,76.66911799,82.19904267,93.41436498,106.9568452,122.1643187,131.1485527,135.794676,0,139.5363101,144.3197992,90.88006599
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365843964,3.019121524,5.53491068,12.33202317,21.99686472,36.61427504,48.10756491,54.99993723,66.37918152,75.6097824,72.19831102,82.07006186
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004240494,0.021773635,0.036460894,0.054342489,0.094677895,0.427823762,1.484397923,2.935775674,5.050749735,6.858168503,8.996551647,11.57177993,14.18292347,19.60018982,25.88431131,30.21985533,33.63225131,51.23601575,64.68655431,70.68598048,80.90771949,90.44349501,97.69945273,96.33724828
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043034507,0.254525031,0.691629718,1.402104049,2.435501689,11.46353529,19.21141303,27.58857728,36.21150774,41.09375467,48.7159617,63.34032541,82.33282857,84.52795238,80.87078571,82.60007887,87.57471473,91.09530785,91.27895029
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.897675617,5.33356832,12.65769422,18.63146249,18.36751842,24.28121327,28.18941102,30.05546952,43.41214719,60.13830503,76.83593118,96.02329234,120.0102471,145.9838697,153.7856491,160.6410528,167.2975939
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000445712,0.004403447,0.020698847,0.115915349,0.360031692,0.794074075,1.519628432,2.725767586,4.347740579,8.739617433,13.28797717,16.24346532,19.44379918,25.51445011,35.65289881,46.31418452,53.11025849,63.67475185,78.5549801,87.54187651,100.8810115,119.0023853,125.0018521,135.3050481,138.9514906
British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689684699,1.144394171,1.508816445,2.969404832,5.43654522,12.16292716,14.38757599,14.52062574,15.48765187,20.33892037,28.63161956,42.16988977,44.35447321,50.15283516,56.11299429,63.31987548,80.4383275,95.9883599,102.793692,104.6861055,108.6214859,109.015478,113.9487384,112.2144457,110.0570645
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011692572,0.076908205,0.250295641,0.321320979,0.853688207,1.561842059,4.339230099,9.224411944,19.53377787,33.00364603,44.84272118,61.07153717,81.27954474,108.2720221,130.8646368,138.9755558,140.4048536,138.0389827,142.8461575,148.1311121,145.1876887,137.7065953
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00506143,0.014092851,0.024890963,0.044637705,0.217480374,0.637748952,0.902809026,1.880815092,3.037679629,4.720290206,7.354840819,13.05253397,20.62907931,25.3304628,36.72938024,48.02719397,60.60765215,66.37728295,71.73746951
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005879704,0.006184101,0.009082238,0.008912568,0.009718077,0.009615874,0.012222561,0.244520537,0.488582584,0.738874924,0.881016032,1.338877194,1.969012632,2.486764507,3.241953471,5.572453585,10.31456575,18.1747416,20.06827414,22.81446021,24.96258806,30.46201036
Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004789708,0.239474846,1.858266846,4.459276806,6.988944394,9.354227469,11.42376199,13.89003267,17.07319111,22.58745902,31.46741973,57.29277356,59.83377049,76.26543014,80.81218046,86.02531144,100.1124481,121.7897017
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047730546,0.098166222,0.13092897,0.208266253,0.29445528,0.524974387,0.745096324,1.068055124,1.791593179,2.989928034,3.853206909,6.551636708,7.95123006,12.70116666,18.79147363,30.39341867,44.31490591,56.74071111,94.18821019,128.5272115,133.8902393,132.7337981
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011810778,0.020101116,0.024446549,0.02855312,0.033095248,0.03867561,0.648423286,2.552194314,4.18010464,6.253165411,8.661224693,12.41890525,16.84911141,23.75158108,31.44110653,39.81367836,41.8760103,49.56740015,60.40682443,70.3904685,75.6851331
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046433382,0.229211886,0.370663166,0.752880479,1.264765577,2.110674786,2.769888481,3.621301434,4.648371087,6.435664704,8.840378661,11.82226558,14.04583637,17.73689555,22.72196984,28.42909462,34.36625958,37.94941948,42.07126881,47.06386648,52.75959279,57.49320536,61.47310755,66.20487722,70.54830532,75.676078,77.82549309,79.56833775,80.61008074,81.0393165
Caribbean small states,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034895138,0.098208486,0.23187363,0.407774046,0.630540948,1.09438499,1.375131879,1.732894935,2.257219077,4.110624057,11.20844431,18.84024547,31.43276044,43.08084244,55.34427778,65.16617643,82.94775753,94.7815549,103.9363771,111.0521354,114.477539,107.9535208,104.2195293,109.4297757,112.8934061
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.132692381,3.605576235,4.397598771,6.032274164,8.000757767,0,11.54343185,13.69826718,21.12534539,25.66870577,39.24556179,42.46569219,45.70733403,71.46028457,166.4747136,185.0217887,197.1887628,185.8047324,200.2745279,181.174224,170.9810781,171.6762203,167.7693163,153.7483538
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001343226,0.031967296,0.040003118,0.046681951,0.116598212,0.136519203,0.296972634,0.334461655,1.04448569,1.540992322,2.524680647,2.728105589,8.278756443,13.61972672,20.24357708,22.51148929,22.37140338,25.26102109,29.46657548,24.53960893
Central Europe and the Baltics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002597791,0.011661181,0.040827293,0.099847911,0.264693078,0.501823664,1.109543555,2.84876704,5.710329757,10.87733514,20.66495899,32.42652751,44.06820565,53.93107791,67.51983912,81.79641151,96.49349918,110.4606381,118.2050008,118.7188854,120.6792463,123.6345959,128.0303667,130.3031341,129.7953286
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066255872,0.25519327,0.381697962,0.698081479,1.272630052,2.096977626,4.500299416,8.587287923,14.50506716,20.06204202,24.53167583,30.34478288,35.36487879,35.56437683,39.75097997
Channel Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037639534,0.105350944,0.268539847,0.470127826,0.610285808,0.814454288,1.366430697,2.178877112,2.75502543,6.397437861,14.80909023,22.01007195,32.61518474,39.47217874,45.43908728,57.28133939,64.69417543,75.43868865,83.7200337,87.91177733,96.81312008,115.7513836,128.9269073,137.0811793,134.2890529,133.2556288
China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35E-05,0.000286863,0.000855603,0.001571868,0.004018906,0.014759086,0.052592372,0.127903776,0.293245078,0.549163873,1.052726386,1.886071369,3.401326149,6.658707962,11.24474524,15.90376731,20.72082242,25.55100154,29.84470593,34.76674887,41.01687431,47.75671627,55.29808341,63.17027802,72.0713209,80.76271455,88.70833462,92.27349082
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24169275,0.750781397,1.404166019,3.336985973,4.667668497,5.012308803,5.656428656,8.05071461,11.15236825,14.7740697,24.45605295,50.59739682,67.88728318,76.27493489,91.61012359,92.04640981,95.76455258,98.13425332,102.8549384,104.0845439,113.0811454
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.350575206,1.431185075,2.584009868,5.981418464,9.815151975,14.12941193,18.40512718,24.19595919,30.91017629,39.51356301,47.28425115,50.90120382
"Congo, Dem. Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020232062,0.016696581,0.020191297,0.022241527,0.026150001,0.031949396,0.311416239,1.130925646,2.444905248,3.792769423,5.082723491,7.942801654,11.52690544,16.89524742,15.63752578,19.00647586,24.47130767,30.58009217,41.81656407,53.49321638
"Congo, Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035745282,0,0.114474547,0.164233601,2.239137305,4.679258656,6.754536548,9.811447759,11.12402678,15.75537552,25.16003031,34.25590964,46.61451448,73.79715284,90.44274713,91.93909914,98.75682808,104.7695043,108.1495742
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093024176,0.136853257,0.205830135,0.539072399,1.304630033,1.760159868,2.900080921,3.596761254,5.385144702,8.146131245,12.27400192,18.65912118,21.73836456,25.49240416,32.86782699,33.79212704,41.62122844,42.38509644,66.9932126,87.66035275,111.9199133,145.9716479,143.8283592
Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09259594,0.239327506,0.590886388,1.627198864,2.93188436,4.436889916,6.159273168,7.573690548,9.766100444,13.5071853,23.01735374,41.60500652,57.22349848,70.87826244,82.20152116,89.44962943,91.22862939,95.44605196,106.2476093
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005006758,0.042070686,0.132006749,0.23899589,0.458153231,0.718264839,1.39727181,2.61691813,4.006694363,6.538459663,23.08276209,39.46668034,52.24918201,57.51727921,64.44748808,83.15832573,100.3790937,115.2253076,104.4643435,107.4733846,113.6081449,118.3013547,115.4136047,110.0543067,104.4313214
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002175148,0.00462041,0.010589381,0.017736898,0.022102299,0.027158313,0.036659711,0.046263685,0.058679798,0.076766381,0.159211568,0.314389406,0.672354824,1.200257384,1.351328632,1.75418261,2.936664083,5.502396795,8.890583462,11.66313248,14.92016162,17.71492741,22.47839584
Curacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.2496774,138.2651125,136.1469876,131.8166305,128.1821618,121.5965545
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022811303,0.179482775,0.411682066,0.655184655,1.216371494,1.867090695,2.739958383,5.196816887,8.105505207,10.32497954,12.82201225,16.38578873,23.14502373,32.69487385,42.6515777,55.27790635,64.79829104,75.78090348,82.77911008,92.9655393,94.3969347,89.63535014,93.69258439,97.70992366,98.40043437,96.35942536,96.33531011
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012023234,0.044996981,0.135784868,0.294173605,0.472956237,1.939566548,5.104522953,9.381611565,18.93412681,42.3984415,67.90006485,84.29721942,95.14729054,105.6300232,115.1035371,120.7427007,127.9639191,132.350961,124.5668165,122.5551112,124.0943746,126.8464851,128.1914358,129.539048
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140547863,0.314516643,0.598204448,0.901551372,1.126449445,1.513422359,1.981426966,2.413347807,2.88347134,3.413512849,4.081427044,6.889123885,9.661657764,15.71430701,25.05702382,27.36597973,36.44494478,49.41497271,63.00812452,73.95702529,83.40020495,88.56084311,95.70911343,100.5816868,107.1170645,115.3715804,119.3024732,123.6993991,115.669923,128.661526,130.2798977,127.1176716,125.8881271
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016274814,0.029510232,0.031432074,0.039345073,0.031816868,0.408868633,2.014953643,3.046014687,4.50288335,5.672656567,5.690729661,8.70663211,13.93013208,15.66875338,19.85681673,22.80161957,24.71558258,27.96586676,32.38686559
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.647963343,0.785799084,0.924674586,1.144459386,1.722183154,11.06804479,17.43832908,33.95186845,59.49235691,73.71494996,101.1458481,125.7150929,128.3805708,138.7402107,148.3370101,152.5524853,152.4747503,129.9598628,127.4519291
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043698337,0.075821226,0.095352766,0.134804055,0.267922366,0.701670075,1.016767731,1.714916352,2.494884143,4.977015979,8.142637879,14.43390143,19.032561,23.06075038,27.52205864,38.77928523,48.58664735,57.33593759,73.95219275,87.30861627,88.7787084,86.43207979,86.93709732,88.43350015,78.86382636
Early-demographic dividend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100163,0.000113353,0.000300762,0.000842681,0.001465944,0.002802402,0.009222367,0.019028089,0.034290534,0.053477298,0.102427571,0.183785832,0.345707682,0.651651078,1.049791666,1.887530108,3.290524631,4.682102734,6.084134909,8.354933943,11.73812355,17.37146927,25.49975121,35.03480717,45.63990503,56.25815829,68.87953691,78.43386487,80.69617812,84.48350703,87.45459032
East Asia & Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000838395,0.001230872,0.001663013,0.002661953,0.004176999,0.007462797,0.012909697,0.023722011,0.049972327,0.088997187,0.146244753,0.213171109,0.312817358,0.576998231,1.247704152,2.474717191,3.725149932,5.294958887,7.820842028,11.39397119,15.81584052,20.3257929,24.74001751,29.60996318,34.07117549,39.47870679,48.03977794,57.10186039,64.94370914,73.73623434,83.2737837,91.63281874,98.27471216,103.404061
East Asia & Pacific (excluding high income),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000120087,0.000138144,0.001068336,0.001963554,0.003625985,0.006361033,0.011397901,0.021702378,0.042832549,0.091268093,0.182521746,0.38217367,0.670619133,1.116092794,1.730391419,2.983700859,5.715729062,9.755606123,14.08028585,18.49919331,23.56944068,28.14690302,33.79253235,42.56822885,52.38224484,60.65242784,69.92421189,79.87847843,88.68071682,95.68747286,100.7830486
East Asia & Pacific (IDA & IBRD countries),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000121632,0.000139936,0.001081984,0.001988445,0.003671689,0.006440842,0.011540787,0.021974428,0.043328036,0.092371594,0.184778843,0.386956482,0.679055847,1.130168983,1.752236449,3.021387589,5.787983243,9.879032577,14.25855669,18.73343795,23.86790244,28.50232707,34.21862847,43.10384283,53.03970913,61.40801309,70.7748311,80.8221324,89.69613266,96.75175598,101.889578
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170828212,0.480566995,0.517246854,1.072140872,2.0163,3.118622576,3.847519769,6.722172021,11.97894159,18.05870507,26.19668978,45.33840899,60.50592352,69.66428675,80.51374955,89.7355484,98.53115831,100.5655994,106.2255329,105.6444776,103.8991648
"Egypt, Arab Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004977561,0.005593283,0.006555298,0.007100178,0.007841417,0.008416892,0.011595444,0.012237709,0.012045436,0.011861838,0.103619882,0.141666208,0.738848579,2.056199148,4.157181333,6.580539155,8.349882145,10.82720009,18.98863599,24.66217297,40.54135052,54.69017202,72.09666743,90.50319174,105.0794228,119.9164442,121.507893,114.3059858
